code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
601116,三江购物,龙头:601116,✗MACD | ✗ZJTJ,-0.3767,-0.3946,0.0358,-3.5,44.25,46.08,40.58,✗,✗,✗,✗,✗,0.99,0,-2.71,-6.23,0.16,
603859,能科科技,龙头:603859,✗MACD | ✗ZJTJ | ✓KDJ买入,0.646,0.9314,-0.5709,-0.67,36.71,36.14,37.85,✗,✗,✓,✗,✗,10.0,0,4.74,9.02,-1.63,
600422,昆药集团,龙头:600422,✗MACD | ✗ZJTJ,-0.3419,-0.4472,0.2105,-1.0,39.93,45.94,27.9,✗,✗,✗,✗,✗,0.12,0,-4.72,-2.8,2.97,
603596,伯特利,龙头:603596,✗MACD | ✗ZJTJ,0.0048,0.2759,-0.5423,-3.71,22.57,33.93,-0.17,✗,✗,✗,✗,✗,-2.19,0,-3.48,-3.96,-9.19,
603583,捷昌驱动,龙头:603583,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.5014,-1.3942,-0.2143,-9.13,19.69,15.46,28.16,✗,✗,✓,✗,✗,6.57,0,4.11,3.49,-9.56,
301206,三元生物,龙头:301206,✗MACD | ✗ZJTJ,-0.6335,-0.4015,-0.4641,-6.93,11.53,13.47,7.63,✗,✗,✗,✗,✗,-0.25,0,-4.04,-3.69,-8.18,
002570,贝因美,龙头:002570,✗MACD | ✓ZJTJ控盘 | ✓KDJ买入,0.0856,-0.0045,0.1802,9.93,71.37,63.18,87.77,✗,✓,✓,✗,✗,-2.1,0,9.59,12.22,16.18,
603127,昭衍新药,龙头:603127,✗MACD | ✗ZJTJ,-1.2287,-0.4098,-1.6377,-13.07,9.56,16.12,-3.57,✗,✗,✗,✗,✗,-2.45,0,-1.12,-7.31,-21.16,
688032,禾迈股份,龙头:688032,✗MACD | ✗ZJTJ | ✓KDJ买入,-5.4835,-4.2984,-2.3703,-11.77,10.87,10.58,11.45,✗,✗,✓,✗,✗,0.05,0,-3.28,-3.72,-15.18,
603861,白云电器,龙头:603861,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长,0.2119,0.0174,0.3891,6.73,66.51,58.99,81.55,✓,✓,✓,✓,✓,3.69,1,4.53,5.51,12.23,
603178,圣龙股份,龙头:603178,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.42,0.0074,-0.8548,-11.38,13.85,10.65,20.27,✗,✗,✓,✗,✗,2.0,0,1.16,-1.14,-13.11,
002192,融捷股份,龙头:002192,✗MACD | ✗ZJTJ | ✓KDJ买入,-2.3676,-0.581,-3.5732,-11.16,16.54,15.33,18.96,✗,✗,✓,✗,✗,0.91,0,-4.42,-5.31,-10.23,
300363,博腾股份,龙头:300363,✗MACD | ✗ZJTJ,-1.6087,-1.6078,-0.0018,-13.7,7.44,10.52,1.29,✗,✗,✗,✗,✗,-0.72,0,-1.77,-5.83,-8.8,
300759,康龙化成,龙头:300759,✗MACD | ✗ZJTJ,-1.3426,-1.112,-0.4612,-10.79,8.13,9.59,5.22,✗,✗,✗,✗,✗,0.39,0,-4.03,-8.09,-11.03,
300100,双林股份,龙头:300100,✗MACD | ✗ZJTJ,-0.0957,0.2468,-0.6851,-4.8,25.13,26.5,22.39,✗,✗,✗,✗,✗,3.61,0,6.23,4.46,-6.02,
002553,南方精工,龙头:002553,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.4323,-1.3263,-0.2121,-11.75,15.49,10.27,25.92,✗,✗,✓,✗,✗,2.62,0,0.55,1.27,-10.51,
600732,爱旭股份,龙头:600732,✗MACD | ✗ZJTJ,-0.8126,-0.6933,-0.2386,-12.33,7.43,11.99,-1.69,✗,✗,✗,✗,✗,-2.61,0,-4.92,-7.36,-11.8,
002697,红旗连锁,龙头:002697,✗MACD | ✗ZJTJ,-0.085,-0.0958,0.0217,-1.78,33.75,40.91,19.42,✗,✗,✗,✗,✗,2.16,0,-2.47,-4.83,1.5,
000333,美的集团,龙头:000333,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.6755,0.628,0.095,1.54,70.37,63.11,84.88,✓,✓,✓,✗,✓,-0.89,3,-1.1,1.04,1.76,🌟
002252,上海莱士,龙头:002252,✗MACD | ✗ZJTJ,-0.116,-0.1176,0.0032,-2.91,33.14,33.59,32.23,✗,✗,✗,✗,✗,0.97,0,-1.14,-2.26,-0.76,
601966,玲珑轮胎,龙头:601966,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.3801,-0.4257,0.0912,-2.66,42.58,36.68,54.4,✗,✗,✓,✗,✗,0.17,0,-0.57,0.83,-1.54,
301047,义翘神州,龙头:301047,✗MACD | ✗ZJTJ,-2.249,-1.7893,-0.9195,-7.41,14.37,18.41,6.31,✗,✗,✗,✗,✗,0.64,0,-6.91,-3.3,-8.44,
601606,长城军工,龙头:601606,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.7517,-1.37,-0.7634,-11.15,7.55,7.23,8.18,✗,✗,✓,✗,✗,-0.31,0,-3.79,-6.79,-12.81,
300504,天邑股份,龙头:300504,✗MACD | ✓ZJTJ控盘,0.5674,0.5682,-0.0016,4.45,61.13,61.84,59.73,✗,✓,✗,✗,✗,-1.36,0,5.56,2.89,5.67,
002334,英威腾,龙头:002334,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.1512,0.1416,0.0191,2.83,60.66,51.51,78.95,✓,✓,✓,✗,✓,-3.17,2,6.26,7.76,1.89,
002487,大金重工,龙头:002487,✗MACD | ✗ZJTJ,-3.3106,-1.9437,-2.7338,-13.07,6.88,9.95,0.75,✗,✗,✗,✗,✗,-5.79,0,-10.89,-12.77,-15.02,
002737,葵花药业,龙头:002737,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.0632,0.0018,-0.1299,-2.55,31.55,29.91,34.83,✗,✗,✓,✗,✗,2.08,0,-1.47,-2.37,-1.01,
600196,复星医药,龙头:600196,✗MACD | ✗ZJTJ,-0.8189,-0.7046,-0.2287,-6.79,12.43,12.68,11.93,✗,✗,✗,✗,✗,0.92,0,-3.08,-5.29,-5.9,
603259,药明康德,龙头:603259,✗MACD | ✗ZJTJ,-1.1156,-0.3932,-1.4447,-4.24,17.75,23.63,6.0,✗,✗,✗,✗,✗,-0.2,0,-3.2,-4.96,-5.66,
002184,海得控制,龙头:002184,✗MACD | ✗ZJTJ,-0.0494,0.0643,-0.2275,-4.56,20.91,24.0,14.74,✗,✗,✗,✗,✗,4.44,0,0.34,-2.89,-4.39,
600502,安徽建工,龙头:600502,✗MACD | ✗ZJTJ,-0.0841,-0.0767,-0.0149,-2.7,34.02,43.06,15.92,✗,✗,✗,✗,✗,-0.6,0,-5.14,-5.86,-2.16,
002434,万里扬,龙头:002434,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.146,-0.144,-0.004,-2.8,36.89,29.61,51.46,✗,✗,✓,✗,✗,1.53,0,1.25,2.82,-4.7,
300166,东方国信,龙头:300166,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.183,0.1757,-0.7174,-8.75,26.36,20.19,38.72,✗,✗,✓,✗,✗,-3.04,0,2.1,0.91,-13.62,
603063,禾望电气,龙头:603063,✗MACD | ✗ZJTJ,2.3949,3.788,-2.7862,-3.68,25.27,27.81,20.19,✗,✗,✗,✗,✗,-2.8,0,1.91,-2.21,-6.37,
605099,共创草坪,龙头:605099,✗MACD | ✗ZJTJ,-1.2488,-0.4503,-1.597,-10.86,15.4,20.11,5.97,✗,✗,✗,✗,✗,-1.99,0,-3.86,-8.28,-10.16,
002385,大北农,龙头:002385,✗MACD | ✗ZJTJ,-0.1518,-0.145,-0.0136,-6.64,18.96,19.9,17.09,✗,✗,✗,✗,✗,-1.52,0,-2.99,-2.99,-6.07,
001914,招商积余,龙头:001914,✗MACD | ✗ZJTJ,-0.13,-0.1125,-0.035,-2.45,36.68,39.83,30.38,✗,✗,✗,✗,✗,0.52,0,-3.62,-1.14,-1.54,
300081,ST恒信,龙头:300081,✗MACD | ✓ZJTJ控盘 | ✓KDJ买入,0.0274,-0.0043,0.0634,3.89,60.61,52.59,76.65,✗,✓,✓,✗,✗,-0.93,0,-1.84,7.04,3.9,
