code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
601116,三江购物,龙头:601116,✗MACD | ✗ZJTJ,-0.4162,-0.3989,-0.0346,-5.26,31.37,41.18,11.76,✗,✗,✗,✗,✗,-4.43,0,-7.54,-10.52,-3.48,
603859,能科科技,龙头:603859,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,1.0938,0.964,0.2597,5.14,57.81,43.36,86.69,✓,✓,✓,✗,✓,9.99,1,17.07,13.6,5.54,
600422,昆药集团,龙头:600422,✗MACD | ✗ZJTJ,-0.3436,-0.4265,0.1658,-2.21,30.35,40.74,9.56,✗,✗,✗,✗,✗,-2.07,0,-4.28,-10.24,1.67,
603596,伯特利,龙头:603596,✗MACD | ✗ZJTJ,-0.2316,0.1745,-0.8122,-6.48,16.57,28.14,-6.59,✗,✗,✗,✗,✗,-5.65,0,-6.31,-9.44,-14.09,
603583,捷昌驱动,龙头:603583,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.4244,-1.4002,-0.0484,-7.46,29.52,20.15,48.26,✗,✗,✓,✗,✗,-0.92,0,4.02,1.65,-8.65,
301206,三元生物,龙头:301206,✗MACD | ✗ZJTJ,-0.7203,-0.4652,-0.5102,-7.83,11.33,12.76,8.48,✗,✗,✗,✗,✗,-2.58,0,-3.19,-8.45,-10.04,
002570,贝因美,龙头:002570,✓MACD买入 | ✓ZJTJ控盘,0.0851,0.0134,0.1433,7.97,61.79,62.71,59.94,✓,✓,✗,✗,✓,-5.89,1,1.35,2.53,8.44,
603127,昭衍新药,龙头:603127,✗MACD | ✗ZJTJ,-1.4559,-0.6188,-1.6741,-14.26,8.15,13.46,-2.49,✗,✗,✗,✗,✗,-3.77,0,-6.94,-6.53,-23.38,
688032,禾迈股份,龙头:688032,✗MACD | ✗ZJTJ,-5.845,-4.6073,-2.4754,-12.64,9.4,10.19,7.81,✗,✗,✗,✗,✗,-3.75,0,-5.98,-8.22,-13.5,
603861,白云电器,龙头:603861,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长,0.3106,0.0761,0.4691,8.48,71.26,63.08,87.63,✓,✓,✓,✓,✓,1.72,1,11.31,3.68,14.73,
