code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
300620,光库科技,光纤概念,14.165,12.2913,3.7474,70.41,55.95,99.32,11.22,,,0,14.85,1,9.23,26.5,18.56,
300726,宏达电子,大飞机,3.723,3.6058,0.2344,52.16,54.24,48.01,9.25,,,0,8.43,1,1.53,6.29,7.76,
600255,鑫科材料,铜缆高速连接,0.0394,0.0202,0.0384,63.23,54.03,81.64,3.94,,,0,9.92,1,6.68,3.91,8.42,
600487,亨通光电,光纤概念,3.4505,3.4227,0.0557,72.37,58.02,101.08,7.96,,,0,10.01,1,17.93,19.75,10.14,
600869,远东股份,PET铜箔,1.6583,1.5334,0.2499,78.11,64.85,104.65,13.93,,,0,10.01,1,15.38,22.13,17.58,
601137,XD博威合,先进封装,0.3558,0.3419,0.0278,45.48,49.36,37.72,2.34,✓,,1,10.02,1,3.26,-1.37,4.16,
688396,华润微,国家大基金持股,3.3092,3.2913,0.0358,61.87,63.5,58.61,7.25,,,0,3.13,1,-3.08,5.08,5.41,
