date,code,name,source_main,source_manual,source_ebk,kdj_pass,total_score,score_macd,score_zjtj,score_kdj,score_rps,score_volume,score_finance,score_ml,volume_pass,ma_alignment_pass,price_position_pass,sl_tp_return,sl_tp_hold_days,sl_tp_exit_reason,return_2d,bench_2d,return_10d,bench_10d,return_30d,bench_30d,return_60d,bench_60d
2026-05-07,001287,中电港,True,True,True,False,52,25,20,6,1,0,0,0,False,False,False,-2.68,7,STOP_LOSS,5.85,1.83,-7.87,-2.07,,,,
2026-05-08,600105,永鼎股份,True,True,True,False,58,22,20,6,10,0,0,0,False,False,False,-7.31,9,STOP_LOSS,4.77,0.33,-5.27,-0.58,,,,
2026-05-08,002396,星网锐捷,True,True,True,False,48,15,20,6,7,0,0,0,False,False,True,6.15,9,STOP_LOSS,11.0,0.33,9.5,-0.58,,,,
2026-05-08,688167,炬光科技,True,True,True,False,64,30,20,6,8,0,0,0,False,False,False,11.51,7,STOP_LOSS,9.29,0.33,7.44,-0.58,,,,
2026-05-11,688805,健信超导,True,True,True,False,63,23,20,6,14,0,0,0,False,True,False,-9.61,3,STOP_LOSS,-4.99,0.72,5.78,-0.6,,,,
2026-05-12,688668,鼎通科技,True,True,True,False,61,30,20,6,5,0,0,0,False,True,False,3.18,7,STOP_LOSS,-3.18,-0.34,12.06,-0.66,,,,
2026-05-12,688205,德科立,True,True,True,False,65,30,20,6,9,0,0,0,False,True,False,-9.08,3,STOP_LOSS,-2.53,-0.34,-17.22,-0.66,,,,
2026-05-13,601137,XD博威合,True,True,True,False,54,15,20,6,13,0,0,0,False,False,True,-0.95,12,STOP_LOSS,2.11,-2.55,6.73,-3.47,,,,
2026-05-14,300757,罗博特科,True,True,True,False,57,30,20,6,1,0,0,0,False,False,False,-11.04,5,STOP_LOSS,-1.19,-0.76,10.36,-0.56,,,,
2026-05-14,300005,探路者,True,True,True,False,39,7,20,6,6,0,0,0,False,False,False,-7.45,7,STOP_LOSS,-3.63,-0.76,-7.99,-0.56,,,,
2026-05-20,688805,健信超导,True,True,True,False,70,30,20,6,14,0,0,0,False,False,False,-6.26,7,STOP_LOSS,5.72,-0.7,,,,,,
2026-05-27,603633,徕木股份,True,True,True,False,55,15,20,6,14,0,0,0,False,False,False,0.0,4,OPEN,1.59,-1.15,,,,,,
2026-05-27,688519,南亚新材,True,True,True,False,69,30,20,6,13,0,0,0,False,True,False,0.12,3,STOP_LOSS,10.49,-1.15,,,,,,
2026-06-02,300726,宏达电子,True,True,True,False,64,30,20,0,14,0,0,0,False,True,False,0.0,0,OPEN,,,,,,,,
2026-06-02,600487,亨通光电,True,True,True,False,37,8,20,6,3,0,0,0,False,False,False,0.0,0,OPEN,,,,,,,,
2026-06-02,601137,XD博威合,True,True,True,True,49,4,20,10,15,0,0,0,False,False,False,0.0,0,OPEN,,,,,,,,
