code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
000608,阳光股份,手工:000608,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.3785,0.2073,0.3424,28.42,89.88,83.83,101.96,✓,✓,✓,✗,✓,5.43,1,25.43,18.05,55.61,
603733,仙鹤股份,手工:603733,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,1.0249,0.5301,0.9896,14.54,86.52,81.8,95.96,✓,✓,✓,✗,✓,-0.76,1,2.24,6.82,24.24,
