code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,total_score,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
002046,国机精工,培育钻石,1.1459,0.8141,0.6635,78.1,63.56,107.17,6.25,,,0,66,10.0,1,5.95,20.47,7.17,
600522,中天科技,6G概念,2.6248,2.3776,0.4943,75.0,61.86,101.27,12.13,,,0,66,7.51,1,10.12,25.74,15.48,
