code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
000608,阳光股份,手工:000608,✓MACD买入 | ✗ZJTJ | ✓KDJ买入,0.1981,0.1025,0.1914,16.34,77.87,73.39,86.83,✓,✗,✓,✗,✗,-3.73,0,1.31,11.0,15.14,
603733,仙鹤股份,手工:603733,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.6123,0.1444,0.9358,12.56,81.81,69.35,106.72,✓,✓,✓,✗,✓,3.46,2,11.25,6.85,21.11,
