code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
601116,三江购物,龙头:601116,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.3817,-0.4168,0.0703,-2.56,56.44,40.01,89.3,✗,✗,✓,✗,✗,-3.76,0,6.01,4.33,-3.54,
603859,能科科技,龙头:603859,✗MACD | ✗ZJTJ,0.9642,1.2061,-0.4838,0.23,37.14,49.1,13.22,✗,✗,✗,✗,✗,-1.39,0,-4.94,-6.24,-4.44,
600422,昆药集团,龙头:600422,✗MACD | ✓ZJTJ控盘 | ✓KDJ买入,-0.388,-0.5391,0.3023,1.14,63.16,47.46,94.58,✗,✓,✓,✗,✗,-3.8,0,6.43,8.07,4.71,
603596,伯特利,龙头:603596,✗MACD | ✗ZJTJ,0.3718,0.4426,-0.1416,0.22,42.75,54.19,19.87,✗,✗,✗,✗,✗,-0.56,0,-6.01,-6.42,2.24,
603583,捷昌驱动,龙头:603583,✗MACD | ✗ZJTJ,-1.4841,-1.2501,-0.4681,-10.99,9.99,20.47,-10.99,✗,✗,✗,✗,✗,-1.45,0,-4.27,-10.78,-14.31,
301206,三元生物,龙头:301206,✗MACD | ✗ZJTJ,-0.4079,-0.2311,-0.3537,-4.75,16.95,17.37,16.1,✗,✗,✗,✗,✗,-2.07,0,-0.28,-2.61,-6.36,
002570,贝因美,龙头:002570,✗MACD | ✓ZJTJ控盘 | ✓KDJ买入,-0.0242,-0.0571,0.0658,2.11,61.64,49.59,85.74,✗,✓,✓,✗,✗,-0.58,0,3.86,5.36,3.86,
603127,昭衍新药,龙头:603127,✗MACD | ✗ZJTJ,-0.6867,0.2264,-1.8263,-12.24,14.36,27.17,-11.25,✗,✗,✗,✗,✗,-1.76,0,-9.57,-12.03,-14.21,
688032,禾迈股份,龙头:688032,✗MACD | ✗ZJTJ,-4.7172,-3.3554,-2.7234,-11.23,10.17,14.23,2.05,✗,✗,✗,✗,✗,-1.4,0,-4.67,-4.65,-15.51,
603861,白云电器,龙头:603861,✗MACD | ✓ZJTJ控盘 | ✓KDJ买入,0.0677,-0.098,0.3314,5.11,62.07,51.14,83.92,✗,✓,✓,✗,✗,-2.49,0,2.93,12.48,5.78,
603178,圣龙股份,龙头:603178,✗MACD | ✗ZJTJ,-0.1667,0.3638,-1.061,-11.97,7.2,12.38,-3.16,✗,✗,✗,✗,✗,-3.32,0,-5.66,-8.28,-27.74,
