code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,total_score,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
301128,强瑞技术,光刻机,3.1533,3.0505,0.2057,58.77,47.26,81.78,4.79,,✓,1,66,4.86,1,4.23,17.94,6.17,
600105,永鼎股份,3D打印,2.3451,2.1863,0.3176,73.51,63.17,94.18,9.48,,,0,66,2.08,1,11.69,15.92,17.14,
