code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,total_score,来源,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注,source,macd_pass,zjtj_pass,kdj_pass,finance_pass,core_pass,rule_detail
002463,沪电股份,,9.7966,8.8106,1.9719,80.32,76.94,87.08,14.0,,,,,龙头EBK,2.99,2,0.19,7.7,5.8,,龙头:002463,True,True,True,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长
000519,中兵红箭,,0.3903,0.3823,0.016,42.52,53.82,19.94,2.53,,,,,龙头EBK,2.38,2,-3.81,-2.47,2.38,,龙头:000519,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
688082,盛美上海,,22.1899,20.6497,3.0804,66.72,64.33,71.49,15.71,,,,,龙头EBK,7.43,2,-2.45,17.25,2.68,,龙头:688082,True,True,True,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长
000068,华控赛格,,0.0886,0.0074,0.1624,79.6,73.4,91.99,14.64,,,,,龙头EBK,-3.32,1,16.98,16.62,25.91,,龙头:000068,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000722,湖南发展,,0.26,0.2447,0.0306,40.23,47.92,24.86,2.44,,,,,龙头EBK,3.82,2,-5.32,-7.09,10.42,,龙头:000722,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
002527,新时达,,0.5517,0.3233,0.4569,81.0,77.08,88.85,11.8,,,,,龙头EBK,-0.8,2,8.53,10.38,12.22,,龙头:002527,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002515,金字火腿,,0.0646,0.0583,0.0126,72.39,57.27,102.63,2.69,,,,,龙头EBK,10.01,1,6.36,7.45,10.34,,龙头:002515,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300814,中富电路,,13.216,12.3411,1.7499,62.63,57.04,73.83,15.21,,,,,龙头EBK,10.51,2,11.47,14.99,18.39,,龙头:300814,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600183,生益科技,,16.1835,15.6088,1.1493,76.7,77.76,74.57,18.99,,,,,龙头EBK,10.0,2,3.01,4.54,15.06,,龙头:600183,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
601636,旗滨集团,,0.117,0.107,0.02,65.75,52.8,91.64,3.37,,,,,龙头EBK,6.05,1,9.6,10.62,1.27,,龙头:601636,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600505,西昌电力,,0.2423,0.0355,0.4136,77.18,69.3,92.93,9.0,,,,,龙头EBK,-1.41,1,3.59,12.81,15.92,,龙头:600505,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002641,公元股份,,0.0221,0.0017,0.0407,60.5,50.11,81.27,2.9,,,,,龙头EBK,3.54,1,5.78,4.03,7.6,,龙头:002641,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
