date,code,name,score_ml,total_score,kdj_pass,market_state
2024-06-13,002384,,13.5,64,False,strong
2024-06-14,300115,,12.9,66,False,strong
2024-06-17,301338,,12.9,70,False,strong
2024-06-17,300968,,12.9,62,False,strong
2024-06-18,603633,,13.5,60,False,strong
2024-06-26,301338,,11.3,58,False,choppy
2024-06-28,300115,,12.9,69,False,choppy
2024-06-28,002273,,13.5,67,False,choppy
2024-07-09,000063,,13.5,85,False,strong
2024-07-09,300115,,13.5,69,False,strong
2024-07-11,002635,,12.9,81,False,strong
2024-07-15,301428,,12.9,68,False,choppy
2024-07-19,688347,,12.9,85,False,strong
2024-07-22,301428,,12.9,73,False,strong
2024-07-26,002888,,11.3,62,False,choppy
2024-07-29,300516,,12.9,76,False,choppy
2024-07-31,601628,,12.2,68,False,strong
2024-08-07,002001,,12.9,60,False,strong
2024-08-15,300113,,12.9,76,False,choppy
2024-08-19,601318,,10.5,68,False,strong
2024-08-26,300709,,12.9,93,False,choppy
2024-08-29,300709,,12.9,92,False,choppy
2024-08-30,300709,,12.9,93,False,strong
2024-09-02,300709,,12.9,93,False,strong
2024-09-03,300709,,12.9,93,False,strong
2024-09-04,300709,,12.9,93,False,strong
2024-09-05,300709,,12.9,93,False,strong
2024-09-06,300709,,12.9,93,False,strong
2024-09-09,300709,,12.9,93,False,strong
2024-09-10,300709,,12.9,92,False,strong
2024-09-11,300709,,12.9,91,False,strong
2024-11-26,300709,,12.9,87,False,choppy
2024-11-29,300709,,12.9,89,False,choppy
2024-12-30,300709,,12.9,89,False,choppy
2024-12-31,300709,,12.9,87,False,choppy
2025-01-15,300709,,12.9,87,False,choppy
2025-01-16,300709,,12.9,87,False,choppy
2025-01-17,300709,,12.9,92,False,choppy
2025-01-20,300709,,12.9,89,False,choppy
2025-01-21,300709,,12.9,93,False,choppy
2025-01-22,300709,,12.9,92,False,choppy
2025-01-23,300709,,12.9,93,False,choppy
2025-01-24,300709,,12.9,93,False,choppy
2025-01-27,300709,,12.9,93,False,choppy
2025-02-05,300709,,12.9,92,False,choppy
2025-02-06,300709,,12.9,93,False,choppy
2025-02-07,300709,,12.9,89,False,choppy
2025-03-04,300709,,12.9,89,False,choppy
2025-03-05,300709,,12.9,93,False,choppy
2025-03-06,300709,,12.9,91,False,choppy
2025-03-07,300709,,12.9,94,False,choppy
2025-03-10,300709,,12.9,94,False,choppy
2025-03-11,300709,,12.9,93,False,choppy
2025-03-12,300709,,12.9,93,False,choppy
2025-03-18,300709,,12.9,93,False,choppy
2025-03-19,300709,,12.9,93,False,choppy
2025-03-20,300709,,12.9,93,False,choppy
2025-04-28,603359,,12.9,94,True,strong
2025-04-28,001219,,13.5,94,True,strong
2025-04-28,002183,,13.5,91,True,strong
2025-04-29,600084,,13.5,68,False,strong
2025-04-29,601952,,13.5,66,False,strong
2025-04-30,600597,,13.5,76,False,strong
2025-05-06,603718,,13.5,61,False,strong
2025-05-27,002717,,12.2,60,False,choppy
2025-06-04,600222,,13.5,67,False,choppy
2025-06-05,002415,,13.5,66,False,choppy
2025-06-06,000599,,12.9,68,False,strong
2025-06-06,300419,,12.9,62,False,strong
2025-06-09,688602,,13.5,64,False,strong
2025-06-09,000756,,11.8,61,False,strong
2025-06-10,000908,,13.5,64,False,strong
2025-06-10,688690,,11.3,63,False,strong
2025-06-10,301201,,12.9,60,False,strong
2025-06-11,603139,,12.9,92,False,strong
2025-06-11,300006,,13.5,61,False,strong
2025-06-12,600682,,10.4,60,False,strong
2025-06-16,688201,,13.5,59,False,strong
2025-06-17,300084,,12.9,88,False,strong
2025-06-20,003019,,12.9,64,False,choppy
2025-06-23,002189,,13.5,59,False,choppy
2025-06-24,688733,,12.9,67,False,strong
2025-06-24,300438,,13.5,62,False,strong
2025-06-25,002138,,13.5,78,False,strong
2025-06-25,301428,,10.5,75,False,strong
2025-06-25,002439,,13.5,68,False,strong
2025-06-26,688201,,11.3,91,False,strong
2025-06-26,300085,,12.9,88,False,strong
2025-06-26,600178,,10.5,75,False,strong
2025-06-27,300656,,13.5,72,False,strong
2025-06-27,300077,,13.5,72,False,strong
2025-06-30,688262,,12.9,63,False,strong
2025-06-30,301273,,13.5,63,False,strong
2025-07-02,002314,,13.5,63,False,strong
2025-07-02,603588,,12.9,60,False,strong
2025-07-03,000426,,12.9,62,False,strong
2025-07-08,688456,,10.5,58,False,strong
2025-07-08,002439,,13.5,57,False,strong
2025-07-08,002212,,12.9,54,False,strong
2025-07-09,603881,,13.5,74,False,strong
2025-07-10,600120,,13.5,63,False,strong
2025-07-11,300757,,13.5,80,False,strong
2025-07-11,600764,,12.9,57,False,strong
2025-07-17,002294,,13.5,90,False,choppy
2025-07-17,300017,,12.9,61,False,choppy
2025-07-18,002265,,12.9,94,False,strong
2025-07-21,601600,,12.9,69,False,strong
2025-07-21,600581,,13.5,65,False,strong
2025-07-21,600170,,12.9,58,False,strong
2025-07-22,688601,,12.9,90,False,strong
