code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
000608,阳光股份,手工:000608,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.2372,0.1294,0.2156,18.5,83.44,76.74,96.85,✓,✓,✓,✗,✓,8.19,1,1.83,20.67,26.77,
603733,仙鹤股份,手工:603733,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.7909,0.2737,1.0345,14.31,86.84,75.18,110.17,✓,✓,✓,✗,✓,2.28,3,6.86,10.08,25.36,🌟
