date,code,name,score_ml,total_score,max_score,market_state,signal_tier
2023-06-01,300184,,14,65,115,strong,1
2023-06-01,300975,,14,65,115,strong,1
2023-06-01,301013,,13,94,115,strong,1
2023-06-01,688498,,11,91,115,strong,1
2023-06-01,600150,,14,64,115,strong,2
2023-06-01,300709,,13,62,115,strong,1
2023-06-01,002475,,14,63,115,strong,2
2023-06-01,002429,,14,79,115,strong,1
2023-06-01,688521,,13,62,115,strong,1
2023-06-01,002957,,13,91,115,strong,1
2023-06-01,688332,,14,90,115,strong,1
2023-06-01,688017,,14,90,115,strong,1
2023-06-01,603728,,14,90,115,strong,1
2023-06-01,002106,,14,59,115,strong,1
2023-06-01,300331,,14,89,115,strong,1
2023-06-02,301013,,11,92,115,strong,1
2023-06-02,688143,,14,69,115,strong,2
2023-06-02,300184,,14,74,115,strong,1
2023-06-02,300975,,14,58,115,strong,1
2023-06-02,300709,,13,57,115,strong,1
2023-06-02,002475,,14,64,115,strong,1
2023-06-02,002429,,14,81,115,strong,1
2023-06-02,688521,,14,64,115,strong,1
2023-06-02,000636,,14,63,115,strong,2
2023-06-02,688597,,14,57,115,strong,2
2023-06-02,002806,,14,63,115,strong,2
2023-06-02,600237,,14,60,115,strong,2
2023-06-02,002281,,14,86,115,strong,1
2023-06-02,300548,,14,62,115,strong,2
2023-06-02,300308,,14,92,115,strong,1
2023-06-02,603773,,13,81,115,strong,1
2023-06-02,688700,,14,88,115,strong,1
2023-06-05,300184,,14,71,115,strong,1
2023-06-05,300975,,14,86,115,strong,1
2023-06-05,002281,,14,88,115,strong,1
2023-06-05,300308,,14,94,115,strong,1
2023-06-05,002429,,14,81,115,strong,1
2023-06-05,002579,,12,61,115,strong,1
2023-06-05,300709,,14,56,115,strong,1
2023-06-05,002475,,13,61,115,strong,1
2023-06-05,688521,,14,56,115,strong,2
2023-06-05,600237,,14,65,115,strong,1
2023-06-05,603990,,14,81,115,strong,1
2023-06-05,600498,,13,59,115,strong,1
2023-06-05,600667,,14,68,115,strong,1
2023-06-06,300184,,14,66,115,strong,2
2023-06-06,300975,,14,86,115,strong,1
2023-06-06,002281,,14,88,115,strong,2
2023-06-06,300308,,14,88,115,strong,2
2023-06-06,002429,,14,81,115,strong,1
2023-06-06,688700,,13,90,115,strong,1
2023-06-06,600498,,13,59,115,strong,1
2023-06-07,301013,,13,88,115,strong,1
2023-06-07,002281,,14,88,115,strong,1
2023-06-07,300308,,14,88,115,strong,2
2023-06-07,002429,,14,83,115,strong,1
2023-06-07,300184,,14,63,115,strong,2
2023-06-07,300975,,14,85,115,strong,1
2023-06-07,603990,,14,69,115,strong,1
2023-06-07,600498,,13,61,115,strong,1
2023-06-07,300005,,14,75,115,strong,1
2023-06-07,688383,,12,88,115,strong,1
2023-06-07,300757,,14,88,115,strong,1
2023-06-08,301013,,14,89,115,strong,2
2023-06-08,688313,,13,57,115,strong,1
2023-06-08,300308,,14,88,115,strong,2
2023-06-08,002429,,14,83,115,strong,1
2023-06-08,300184,,14,60,115,strong,2
2023-06-08,300975,,14,80,115,strong,1
2023-06-08,301139,,14,87,115,strong,1
2023-06-08,600498,,13,84,115,strong,1
2023-06-08,300757,,13,89,115,strong,1
2023-06-09,301013,,14,89,115,strong,2
2023-06-09,002281,,14,94,115,strong,1
2023-06-09,688313,,13,63,115,strong,1
2023-06-09,300308,,14,88,115,strong,1
2023-06-09,002429,,14,75,115,strong,1
2023-06-09,300975,,14,77,115,strong,1
2023-06-09,688229,,14,63,115,strong,2
2023-06-09,301139,,14,87,115,strong,1
2023-06-09,300419,,13,62,115,strong,1
2023-06-09,603990,,14,71,115,strong,1
2023-06-09,600498,,13,89,115,strong,1
2023-06-09,300757,,12,88,115,strong,1
2023-06-09,301128,,13,66,115,strong,1
2023-06-09,688111,,14,89,115,strong,1
2023-06-09,300352,,14,59,115,strong,1
2023-06-09,600667,,14,53,115,strong,0
2023-06-12,688498,,13,94,115,strong,1
2023-06-12,002281,,14,94,115,strong,1
2023-06-12,688313,,14,94,115,strong,1
2023-06-12,300308,,14,94,115,strong,1
2023-06-12,002429,,14,81,115,strong,1
2023-06-12,300975,,14,72,115,strong,2
2023-06-12,301139,,14,85,115,strong,2
2023-06-12,300419,,13,63,115,strong,1
2023-06-12,603990,,14,73,115,strong,1
2023-06-12,600498,,13,92,115,strong,1
2023-06-12,300757,,13,89,115,strong,1
2023-06-12,002301,,13,52,115,strong,1
2023-06-12,688111,,14,89,115,strong,1
2023-06-12,300352,,13,52,115,strong,1
2023-06-12,300925,,14,88,115,strong,1
2023-06-12,600936,,14,58,115,strong,1
2023-06-13,002281,,14,94,115,strong,1
2023-06-13,688313,,14,94,115,strong,1
2023-06-13,300308,,14,94,115,strong,1
2023-06-13,002429,,14,80,115,strong,1
2023-06-13,300975,,14,72,115,strong,1
2023-06-13,301139,,14,80,115,strong,1
2023-06-13,300419,,14,58,115,strong,1
2023-06-13,300184,,14,65,115,strong,1
2023-06-13,603990,,14,66,115,strong,2
