code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
000608,阳光股份,手工:000608,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.4781,0.2615,0.4333,35.01,93.25,86.97,105.81,✓,✓,✓,✗,✓,9.97,2,27.49,32.78,68.42,
603733,仙鹤股份,手工:603733,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,1.1674,0.6576,1.0196,15.38,86.85,83.48,93.6,✓,✓,✓,✗,✓,4.12,2,4.08,10.13,22.72,
