code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,total_score,来源,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注,source,macd_pass,zjtj_pass,kdj_pass,finance_pass,core_pass,rule_detail
002876,三利谱,OLED,0.2759,0.1552,0.2414,65.22,45.75,104.14,3.75,,,0.0,66.0,主选股,2.57,1,15.3,8.96,9.48,,,,,,,,
301362,民爆光电,PCB概念,18.6285,17.6283,2.0004,67.65,65.08,72.79,18.95,,,0.0,66.0,主选股,13.77,1,28.35,8.85,38.0,,,,,,,,
301528,多浦乐,成飞概念,0.7763,0.4349,0.6829,54.06,36.81,88.56,4.55,,,0.0,66.0,主选股,14.56,1,22.16,13.64,16.79,,,,,,,,
601208,东材科技,BC电池,4.204,3.9816,0.4448,76.41,68.21,92.81,13.95,,,0.0,66.0,主选股,5.51,1,24.71,9.5,25.0,,,,,,,,
688668,鼎通科技,英伟达概念,26.8531,23.4962,6.7138,68.46,61.69,82.01,19.49,,,0.0,66.0,主选股,20.0,1,36.19,19.31,39.58,,,,,,,,
000608,阳光股份,,0.2372,0.1294,0.2156,83.44,76.74,96.85,18.5,,,,,手工选股,8.19,1,1.83,20.67,26.77,,手工:000608,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603733,仙鹤股份,,0.7909,0.2737,1.0345,86.84,75.18,110.17,14.31,,,,,手工选股,2.28,3,6.86,10.08,25.36,🌟,手工:603733,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000333,美的集团,,0.7001,0.6161,0.1681,73.52,59.48,101.59,1.84,,,,,龙头EBK,-0.23,2,0.88,4.4,1.13,,龙头:000333,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002334,英威腾,,0.1437,0.1392,0.009,57.15,46.93,77.58,2.46,,,,,龙头EBK,5.22,1,10.24,4.07,8.85,,龙头:002334,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300308,中际旭创,,101.9612,91.0219,21.8786,84.15,82.27,87.9,17.56,,,,,龙头EBK,0.39,3,13.27,6.85,28.86,🌟,龙头:300308,True,True,True,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长
300502,新易盛,,56.7045,44.6568,24.0955,84.3,82.9,87.1,19.65,,,,,龙头EBK,-0.81,3,14.14,8.02,37.09,🌟,龙头:300502,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300373,扬杰科技,,7.2937,5.9515,2.6843,65.38,69.87,56.39,15.66,,,,,龙头EBK,-0.3,1,6.3,-7.7,35.94,,龙头:300373,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
000539,粤电力Ａ,,0.7029,0.4747,0.4563,83.31,77.39,95.15,25.3,,,,,龙头EBK,-2.45,3,-6.14,13.63,42.39,🌟,龙头:000539,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600546,山煤国际,,0.4463,0.3884,0.1159,60.09,60.68,58.9,6.53,,,,,龙头EBK,-1.63,3,-5.3,5.7,8.31,🌟,龙头:600546,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
300234,开尔新材,,0.4769,0.4561,0.0415,64.97,64.46,65.99,9.08,,,,,龙头EBK,0.24,1,1.07,-1.85,18.85,,龙头:300234,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600293,三峡新材,,0.0446,0.0183,0.0525,65.76,56.79,83.71,5.2,,,,,龙头EBK,10.09,1,8.11,4.96,15.02,,龙头:600293,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300737,科顺股份,,0.2853,0.2338,0.103,56.54,45.9,77.83,8.82,,,,,龙头EBK,4.17,2,9.41,17.43,13.35,,龙头:300737,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000582,北部湾港,,0.6441,0.5668,0.1547,63.13,66.46,56.47,9.26,,,,,龙头EBK,-9.99,3,1.51,0.45,7.53,🌟,龙头:000582,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
002568,百润股份,,0.3455,0.3033,0.0844,55.07,62.04,41.13,3.08,,,,,龙头EBK,-6.49,1,-10.85,-2.49,-0.72,,龙头:002568,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
301071,力量钻石,,7.3319,6.6509,1.362,59.54,65.08,48.45,18.05,,,,,龙头EBK,-2.91,1,6.78,-6.31,30.82,,龙头:301071,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
002938,鹏鼎控股,,10.1444,10.1243,0.0403,50.28,57.65,35.54,13.75,,,,,龙头EBK,2.49,1,7.41,4.72,17.49,,龙头:002938,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
300037,新宙邦,,2.9109,2.5199,0.782,57.7,57.6,57.89,8.06,,,,,龙头EBK,10.2,1,10.34,-2.01,17.69,,龙头:300037,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002975,博杰股份,,15.2439,14.258,1.972,73.32,74.7,70.56,20.12,,,,,龙头EBK,-2.97,3,6.32,6.94,29.95,🌟,龙头:002975,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
603212,赛伍技术,,0.3662,0.2986,0.1352,68.27,56.42,91.96,5.41,,,,,龙头EBK,0.44,2,9.25,4.63,12.44,,龙头:603212,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002579,中京电子,,1.841,1.1639,1.3541,83.92,82.54,86.69,34.03,,,,,龙头EBK,5.96,1,9.22,13.3,61.39,,龙头:002579,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603733,仙鹤股份,,0.7909,0.2737,1.0345,86.84,75.18,110.17,14.31,,,,,龙头EBK,2.28,3,6.86,10.08,25.36,🌟,龙头:603733,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002463,沪电股份,,9.5033,8.0664,2.8738,80.3,77.1,86.72,15.96,,,,,龙头EBK,8.49,1,14.95,5.83,35.8,,龙头:002463,True,True,True,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长
000519,中兵红箭,,0.5311,0.3342,0.394,68.68,68.19,69.68,8.18,,,,,龙头EBK,-2.57,3,2.18,0.92,17.12,🌟,龙头:000519,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
688082,盛美上海,,22.5289,19.3146,6.4285,67.85,63.93,75.69,19.91,,,,,龙头EBK,6.94,2,25.73,10.92,27.16,,龙头:688082,True,True,True,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长
001289,龙源电力,,0.5716,0.4348,0.2736,72.79,70.09,78.19,7.51,,,,,龙头EBK,2.55,1,1.74,6.69,14.06,,龙头:001289,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000722,湖南发展,,0.4118,0.1919,0.4397,62.04,55.89,74.32,10.51,,,,,龙头EBK,-5.23,3,-2.95,11.76,16.63,🌟,龙头:000722,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002527,新时达,,0.2944,0.1768,0.2353,71.88,68.72,78.21,6.14,,,,,龙头EBK,1.57,1,-3.69,12.8,6.05,,龙头:002527,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300130,新国都,,0.3372,0.1913,0.2919,70.96,66.08,80.73,4.25,,,,,龙头EBK,2.25,2,4.03,2.71,6.01,,龙头:300130,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300814,中富电路,,12.3806,12.0072,0.7467,51.11,59.97,33.4,12.92,,,,,龙头EBK,3.09,1,7.05,1.84,21.53,,龙头:300814,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
600183,生益科技,,17.3898,14.9562,4.8672,86.2,86.7,85.21,28.35,,,,,龙头EBK,1.47,1,5.55,5.54,45.8,,龙头:600183,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
605111,新洁能,,5.876,5.6733,0.4053,56.89,69.16,32.37,14.04,,,,,龙头EBK,-1.36,1,2.79,-8.23,20.16,,龙头:605111,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
002056,横店东磁,,2.0236,1.2539,1.5395,86.24,82.68,93.35,25.9,,,,,龙头EBK,6.98,2,20.92,9.08,49.11,,龙头:002056,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600593,大连圣亚,,0.7192,0.289,0.8604,74.62,70.31,83.22,7.39,,,,,龙头EBK,-0.31,3,1.72,6.64,10.51,🌟,龙头:600593,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300628,亿联网络,,0.8309,0.6814,0.2991,68.13,56.99,90.41,5.07,,,,,龙头EBK,-1.3,3,1.63,6.07,7.4,🌟,龙头:300628,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600869,远东股份,,2.044,1.6949,0.6982,82.58,74.52,98.72,20.22,,,,,龙头EBK,-1.49,3,15.32,20.95,26.19,🌟,龙头:600869,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002815,崇达技术,,0.5224,0.4193,0.2063,76.16,70.89,86.69,7.08,,,,,龙头EBK,4.83,2,7.42,4.46,19.53,,龙头:002815,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603005,晶方科技,,2.848,2.6686,0.3588,55.52,57.89,50.77,11.49,,,,,龙头EBK,9.99,1,18.16,-2.24,23.56,,龙头:603005,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
000921,海信家电,,0.7362,0.5459,0.3805,81.23,73.72,96.25,7.52,,,,,龙头EBK,0.0,3,5.44,10.26,9.67,🌟,龙头:000921,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002824,和胜股份,,0.0317,0.0042,0.0549,66.56,52.54,94.59,1.75,,,,,龙头EBK,9.28,1,7.35,14.09,12.0,,龙头:002824,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603890,春秋电子,,2.7594,1.972,1.5748,83.27,83.2,83.41,30.64,,,,,龙头EBK,-6.29,3,7.59,30.2,40.61,🌟,龙头:603890,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002484,江海股份,,12.7701,9.6953,6.1497,94.04,92.43,97.28,47.5,,,,,龙头EBK,10.0,3,21.73,30.08,74.23,🌟,龙头:002484,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000887,中鼎股份,,0.6696,0.5551,0.229,65.09,72.78,49.71,6.29,,,,,龙头EBK,-0.39,1,-2.74,-3.43,7.25,,龙头:000887,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
002422,科伦药业,,0.4534,0.389,0.1287,34.19,54.25,-5.94,2.08,,,,,龙头EBK,0.98,1,-6.43,-3.26,4.6,,龙头:002422,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
600101,明星电力,,0.1382,0.0697,0.1371,67.51,64.85,72.83,4.79,,,,,龙头EBK,-2.33,2,0.38,3.96,10.19,,龙头:600101,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
688183,生益电子,,7.4907,6.3382,2.3048,65.89,70.95,55.77,12.16,,,,,龙头EBK,-0.3,1,4.07,-8.03,28.98,,龙头:688183,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
300726,宏达电子,,5.0735,3.9479,2.2512,73.35,61.89,96.26,19.93,,,,,龙头EBK,20.0,3,32.85,24.39,40.46,🌟,龙头:300726,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600888,新疆众和,,0.7664,0.6752,0.1824,58.41,74.91,25.43,12.33,,,,,龙头EBK,-4.07,1,-8.21,-9.96,15.8,,龙头:600888,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
603267,鸿远电子,,6.1114,4.3382,3.5464,84.07,82.69,86.82,24.09,,,,,龙头EBK,5.2,3,12.97,15.77,37.5,🌟,龙头:603267,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
