code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
601116,三江购物,龙头:601116,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.357,-0.4049,0.0958,-1.99,58.74,46.26,83.71,✗,✗,✓,✗,✗,0.56,0,-3.08,3.7,-0.71,
603859,能科科技,龙头:603859,✗MACD | ✗ZJTJ,0.7854,1.1219,-0.673,-1.13,30.87,43.02,6.56,✗,✗,✗,✗,✗,-1.59,0,2.43,-4.12,-8.07,
600422,昆药集团,龙头:600422,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.3614,-0.5036,0.2844,0.86,56.02,50.31,67.44,✗,✗,✓,✗,✗,-2.52,0,-0.56,3.98,3.86,
603596,伯特利,龙头:603596,✗MACD | ✗ZJTJ,0.2162,0.3973,-0.3622,-1.84,30.05,46.14,-2.15,✗,✗,✗,✗,✗,-2.79,0,-3.27,-10.21,2.0,
603583,捷昌驱动,龙头:603583,✗MACD | ✗ZJTJ,-1.5436,-1.3088,-0.4697,-11.34,8.44,16.46,-7.6,✗,✗,✗,✗,✗,-0.84,0,-1.43,-6.47,-12.89,
301206,三元生物,龙头:301206,✗MACD | ✗ZJTJ,-0.5017,-0.2852,-0.433,-5.94,12.17,15.64,5.25,✗,✗,✗,✗,✗,-3.44,0,-3.09,-4.28,-9.21,
002570,贝因美,龙头:002570,✗MACD | ✓ZJTJ控盘 | ✓KDJ买入,-0.005,-0.0467,0.0833,3.36,58.34,52.51,70.0,✗,✓,✓,✗,✗,1.76,0,4.21,6.34,7.22,
603127,昭衍新药,龙头:603127,✗MACD | ✗ZJTJ,-0.8807,0.0051,-1.7715,-12.55,13.91,22.75,-3.76,✗,✗,✗,✗,✗,2.24,0,-4.15,-8.5,-13.3,
688032,禾迈股份,龙头:688032,✗MACD | ✗ZJTJ,-4.9729,-3.6788,-2.588,-11.35,8.38,12.28,0.58,✗,✗,✗,✗,✗,-0.99,0,-1.44,-4.68,-17.64,
603861,白云电器,龙头:603861,✗MACD | ✗ZJTJ | ✓KDJ买入,0.0536,-0.0677,0.2425,3.57,55.69,52.66,61.76,✗,✗,✓,✗,✗,-4.47,0,-3.58,8.16,-0.9,
603178,圣龙股份,龙头:603178,✗MACD | ✗ZJTJ,-0.2741,0.2362,-1.0207,-12.21,7.54,10.77,1.1,✗,✗,✗,✗,✗,0.52,0,-1.76,-5.42,-19.27,
002192,融捷股份,龙头:002192,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.5554,0.3458,-3.8024,-10.09,17.11,15.99,19.33,✗,✗,✓,✗,✗,-1.59,0,-2.52,-4.56,-12.56,
300363,博腾股份,龙头:300363,✗MACD | ✗ZJTJ,-1.658,-1.6003,-0.1154,-14.88,10.48,13.22,5.01,✗,✗,✗,✗,✗,0.28,0,-3.87,-4.0,-10.15,
300759,康龙化成,龙头:300759,✗MACD | ✗ZJTJ,-1.2038,-0.9945,-0.4185,-9.49,9.2,11.54,4.52,✗,✗,✗,✗,✗,-2.29,0,-6.41,-7.19,-11.92,
300100,双林股份,龙头:300100,✗MACD | ✗ZJTJ,-0.0627,0.4485,-1.0225,-7.44,14.05,31.91,-21.66,✗,✗,✗,✗,✗,-2.5,0,-4.13,-17.47,-12.56,
002553,南方精工,龙头:002553,✗MACD | ✗ZJTJ,-1.4556,-1.2565,-0.3983,-13.61,6.95,8.45,3.95,✗,✗,✗,✗,✗,-1.09,0,-0.39,-6.12,-15.14,
600732,爱旭股份,龙头:600732,✗MACD | ✗ZJTJ,-0.7496,-0.6352,-0.2288,-11.11,12.18,16.19,4.16,✗,✗,✗,✗,✗,-0.85,0,-3.39,-6.78,-11.24,
002697,红旗连锁,龙头:002697,✗MACD | ✗ZJTJ,-0.0768,-0.1016,0.0495,-0.21,48.16,49.2,46.06,✗,✗,✗,✗,✗,-2.47,0,-4.83,-2.27,0.21,
000333,美的集团,龙头:000333,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.6471,0.5951,0.104,1.62,70.92,52.46,107.84,✓,✓,✓,✗,✓,0.01,1,2.18,3.22,1.36,
002252,上海莱士,龙头:002252,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.1138,-0.118,0.0085,-2.55,43.3,34.2,61.51,✗,✗,✓,✗,✗,-0.19,0,-1.32,1.16,-2.06,
601966,玲珑轮胎,龙头:601966,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.4118,-0.4471,0.0706,-3.18,43.81,29.32,72.81,✗,✗,✓,✗,✗,1.15,0,2.58,1.82,0.65,
301047,义翘神州,龙头:301047,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.8982,-1.5614,-0.6735,-5.71,25.94,21.83,34.16,✗,✗,✓,✗,✗,-4.22,0,-0.51,-2.96,-7.07,
601606,长城军工,龙头:601606,✗MACD | ✗ZJTJ,-1.5157,-1.1797,-0.672,-9.6,6.53,7.61,4.37,✗,✗,✗,✗,✗,-0.72,0,-3.82,-6.01,-11.84,
300504,天邑股份,龙头:300504,✗MACD | ✓ZJTJ控盘 | ✓KDJ买入,0.5148,0.5705,-0.1114,2.76,65.4,60.93,74.35,✗,✓,✓,✗,✗,4.05,0,1.42,5.01,3.99,
002334,英威腾,龙头:002334,✗MACD | ✗ZJTJ,0.1015,0.1381,-0.0731,-0.41,40.61,41.82,38.19,✗,✗,✗,✗,✗,4.29,0,5.76,-1.32,-0.99,
