code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,total_score,来源,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注,source,macd_pass,zjtj_pass,kdj_pass,finance_pass,core_pass,rule_detail
301128,强瑞技术,光刻机,3.1533,3.0505,0.2057,58.77,47.26,81.78,4.79,,✓,1.0,66.0,主选股,4.86,1,4.23,17.94,6.17,,,,,,,,
600105,永鼎股份,3D打印,2.3451,2.1863,0.3176,73.51,63.17,94.18,9.48,,,0.0,66.0,主选股,2.08,1,11.69,15.92,17.14,,,,,,,,
000608,阳光股份,,0.305,0.1645,0.2809,88.96,80.81,105.26,23.68,,,,,手工选股,9.96,2,14.52,20.52,42.27,,手工:000608,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603733,仙鹤股份,,0.937,0.4064,1.0613,87.94,79.43,104.95,15.09,,,,,手工选股,0.73,4,6.59,14.62,26.1,🌟,手工:603733,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603861,白云电器,,0.2119,0.0174,0.3891,66.51,58.99,81.55,6.73,,,,,龙头EBK,3.69,1,4.53,5.51,12.23,,龙头:603861,True,True,True,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长
000333,美的集团,,0.6755,0.628,0.095,70.37,63.11,84.88,1.54,,,,,龙头EBK,-0.89,3,-1.1,1.04,1.76,🌟,龙头:000333,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002334,英威腾,,0.1512,0.1416,0.0191,60.66,51.51,78.95,2.83,,,,,龙头EBK,-3.17,2,6.26,7.76,1.89,,龙头:002334,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300308,中际旭创,,96.6408,92.1457,8.9903,70.3,78.28,54.35,13.85,,,,,龙头EBK,-7.81,4,-0.99,1.62,13.68,🌟,龙头:300308,True,True,False,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓财务增长
300502,新易盛,,56.3622,46.9979,18.7287,75.17,80.32,64.87,17.26,,,,,龙头EBK,-3.6,4,0.13,5.88,23.28,🌟,龙头:300502,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
300373,扬杰科技,,7.0378,6.1688,1.738,58.5,66.08,43.35,12.92,,,,,龙头EBK,-2.49,2,1.35,-3.97,19.09,,龙头:300373,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
000539,粤电力Ａ,,0.6459,0.509,0.2739,73.3,76.03,67.84,18.12,,,,,龙头EBK,-10.03,4,-9.64,-7.09,26.34,🌟,龙头:000539,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
600546,山煤国际,,0.4145,0.3936,0.0418,52.38,57.91,41.31,4.89,,,,,龙头EBK,-2.42,4,-2.15,1.66,7.79,🌟,龙头:600546,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
300234,开尔新材,,0.4888,0.4627,0.0523,69.94,66.29,77.25,9.59,,,,,龙头EBK,3.76,2,2.91,4.5,16.34,,龙头:300234,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600293,三峡新材,,0.0918,0.033,0.1176,77.17,63.58,104.36,11.6,,,,,龙头EBK,10.0,2,19.28,23.75,22.98,,龙头:600293,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
