code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,total_score,来源,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注,source,macd_pass,zjtj_pass,kdj_pass,finance_pass,core_pass,rule_detail
002046,国机精工,培育钻石,1.1459,0.8141,0.6635,78.1,63.56,107.17,6.25,,,0.0,66.0,主选股,10.0,1,5.95,20.47,7.17,,,,,,,,
600522,中天科技,6G概念,2.6248,2.3776,0.4943,75.0,61.86,101.27,12.13,,,0.0,66.0,主选股,7.51,1,10.12,25.74,15.48,,,,,,,,
000608,阳光股份,,0.3785,0.2073,0.3424,89.88,83.83,101.96,28.42,,,,,手工选股,5.43,1,25.43,18.05,55.61,,手工:000608,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603733,仙鹤股份,,1.0249,0.5301,0.9896,86.52,81.8,95.96,14.54,,,,,手工选股,-0.76,1,2.24,6.82,24.24,,手工:603733,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603859,能科科技,,1.0938,0.964,0.2597,57.81,43.36,86.69,5.14,,,,,龙头EBK,9.99,1,17.07,13.6,5.54,,龙头:603859,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002570,贝因美,,0.0851,0.0134,0.1433,61.79,62.71,59.94,7.97,,,,,龙头EBK,-5.89,1,1.35,2.53,8.44,,龙头:002570,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
603861,白云电器,,0.3106,0.0761,0.4691,71.26,63.08,87.63,8.48,,,,,龙头EBK,1.72,1,11.31,3.68,14.73,,龙头:603861,True,True,True,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长
000333,美的集团,,0.741,0.6506,0.1808,74.53,66.92,89.75,1.87,,,,,龙头EBK,1.42,1,0.29,1.41,3.81,,龙头:000333,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300081,ST恒信,,0.0359,0.0037,0.0644,64.15,56.44,79.55,4.19,,,,,龙头EBK,1.64,1,-1.14,1.88,9.07,,龙头:300081,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300502,新易盛,,53.6163,48.3208,10.5911,62.22,74.29,38.08,13.67,,,,,龙头EBK,-3.07,1,-7.32,6.65,10.01,,龙头:300502,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
000539,粤电力Ａ,,0.5564,0.5185,0.0759,61.59,71.22,42.35,10.59,,,,,龙头EBK,-5.7,1,-17.23,-20.37,15.09,,龙头:000539,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
300234,开尔新材,,0.5348,0.4771,0.1154,75.3,69.29,87.32,12.09,,,,,龙头EBK,6.0,1,10.25,11.16,25.81,,龙头:300234,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600293,三峡新材,,0.1414,0.0547,0.1733,78.34,68.5,98.02,17.13,,,,,龙头EBK,4.29,1,26.3,24.02,22.55,,龙头:600293,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300334,津膜科技,,0.1582,0.0243,0.2678,58.4,38.38,98.43,11.39,,,,,龙头EBK,10.32,1,36.73,30.45,22.41,,龙头:300334,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600007,中国国贸,,0.0788,0.0339,0.0898,64.13,56.81,78.75,1.56,,,,,龙头EBK,4.56,1,5.25,2.39,4.9,,龙头:600007,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300737,科顺股份,,0.2711,0.2613,0.0196,46.69,50.34,39.39,5.48,,,,,龙头EBK,-20.02,1,-12.76,-8.38,-3.0,,龙头:300737,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
300037,新宙邦,,2.8314,2.6607,0.3416,52.38,56.3,44.53,6.34,,,,,龙头EBK,-3.58,1,3.11,3.24,7.09,,龙头:300037,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
603212,赛伍技术,,0.4771,0.3505,0.2533,83.25,69.46,110.82,8.07,,,,,龙头EBK,4.41,1,5.21,14.43,11.81,,龙头:603212,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002579,中京电子,,1.6057,1.3547,0.502,55.69,72.24,22.58,18.07,,,,,龙头EBK,-10.01,1,-13.52,-10.86,23.04,,龙头:002579,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
603733,仙鹤股份,,1.0249,0.5301,0.9896,86.52,81.8,95.96,14.54,,,,,龙头EBK,-0.76,1,2.24,6.82,24.24,,龙头:603733,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002463,沪电股份,,9.4955,8.5639,1.8633,74.07,75.25,71.69,13.61,,,,,龙头EBK,2.84,1,5.55,11.83,11.8,,龙头:002463,True,True,False,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓财务增长
000519,中兵红箭,,0.4253,0.3803,0.09,46.94,59.46,21.91,3.58,,,,,龙头EBK,-3.89,1,-8.46,-3.99,-2.22,,龙头:000519,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
688082,盛美上海,,21.6002,20.2643,2.6718,60.73,63.14,55.91,14.99,,,,,龙头EBK,-2.15,1,-2.9,14.15,-2.15,,龙头:688082,True,True,False,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓财务增长
