date,code,name,score_ml,total_score,max_score,market_state,signal_tier
2023-06-27,601137,,14,62,115,strong,1
2023-06-28,603728,,14,89,115,strong,1
2023-06-28,000601,,15,66,115,strong,1
2023-06-28,002897,,14,58,115,strong,1
2023-06-28,603890,,14,64,115,strong,1
2023-06-28,002429,,14,58,115,strong,1
2023-06-28,002281,,14,88,115,strong,1
2023-06-28,688143,,14,94,115,strong,1
2023-06-28,601869,,14,83,115,strong,1
2023-06-28,601899,,14,71,115,strong,1
2023-06-28,601138,,14,74,115,strong,1
2023-06-28,300863,,14,56,115,strong,1
2023-06-28,600105,,14,56,115,strong,1
2023-06-28,000700,,14,67,115,strong,1
2023-06-28,300547,,14,70,115,strong,1
2023-06-29,603728,,14,89,115,strong,1
2023-06-29,000601,,15,66,115,strong,1
2023-06-29,002429,,14,58,115,strong,1
2023-06-29,002281,,14,87,115,strong,1
2023-06-29,301312,,9,84,115,strong,0
2023-06-29,688028,,14,63,115,strong,1
2023-06-29,688257,,13,62,115,strong,1
2023-06-29,002434,,14,56,115,strong,1
2023-06-29,603766,,14,65,115,strong,1
2023-06-29,000678,,14,92,115,strong,1
2023-06-29,300124,,14,86,115,strong,1
2023-06-29,300566,,14,76,115,strong,0
2023-06-29,301311,,10,71,115,strong,0
2023-06-30,000951,,14,90,115,strong,1
2023-06-30,603728,,14,95,115,strong,1
2023-06-30,002975,,13,78,115,strong,0
2023-06-30,000601,,14,65,115,strong,1
2023-06-30,002429,,14,58,115,strong,1
2023-06-30,600869,,14,63,115,strong,1
2023-06-30,688700,,14,93,115,strong,1
2023-06-30,603800,,14,78,115,strong,0
2023-06-30,600522,,14,64,115,strong,1
2023-06-30,601208,,14,82,115,strong,1
2023-06-30,603773,,14,82,115,strong,0
2023-06-30,603618,,14,65,115,strong,1
2023-06-30,002859,,14,61,115,strong,1
2023-06-30,688028,,14,62,115,strong,1
2023-06-30,688257,,13,61,115,strong,1
2023-06-30,000657,,14,62,115,strong,1
2023-06-30,300508,,14,62,115,strong,1
2023-07-03,000951,,14,95,115,strong,1
2023-07-03,603728,,14,89,115,strong,1
2023-07-03,688017,,14,59,115,strong,1
2023-07-03,000601,,14,65,115,strong,1
2023-07-03,603890,,14,88,115,strong,1
2023-07-03,002429,,14,64,115,strong,1
2023-07-03,300308,,14,58,115,strong,1
2023-07-03,002281,,14,58,115,strong,1
2023-07-03,300285,,14,64,115,strong,1
2023-07-03,600869,,14,63,115,strong,1
2023-07-03,688700,,14,93,115,strong,1
2023-07-03,600522,,14,76,115,strong,1
2023-07-03,601208,,14,84,115,strong,1
2023-07-03,603773,,14,93,115,strong,1
2023-07-03,300956,,14,70,115,strong,1
2023-07-03,002056,,14,62,115,strong,1
2023-07-03,300566,,14,75,115,strong,1
2023-07-03,601137,,14,86,115,strong,1
2023-07-03,603045,,14,67,115,strong,0
2023-07-03,688147,,14,62,115,strong,1
