code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
603259,药明康德,龙头:603259,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.6787,-0.7997,-1.7581,-5.73,22.77,22.11,24.07,✗,✗,✓,✗,✗,-2.62,0,-3.38,-6.29,-8.78,
002184,海得控制,龙头:002184,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.0905,0.0109,-0.2028,-4.4,28.13,25.48,33.43,✗,✗,✓,✗,✗,0.69,0,3.29,-0.77,-9.43,
600502,安徽建工,龙头:600502,✗MACD | ✗ZJTJ,-0.1133,-0.0877,-0.0512,-5.11,18.92,31.16,-5.55,✗,✗,✗,✗,✗,-0.62,0,-3.59,-8.0,-4.73,
002434,万里扬,龙头:002434,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.15,-0.1461,-0.0078,-3.05,35.75,33.05,41.15,✗,✗,✓,✗,✗,0.14,0,-0.7,-0.97,-3.51,
300166,东方国信,龙头:300166,✗MACD | ✗ZJTJ,-0.3802,-0.0127,-0.7348,-10.69,17.96,19.14,15.59,✗,✗,✗,✗,✗,1.68,0,-7.61,-2.71,-10.75,
603063,禾望电气,龙头:603063,✗MACD | ✗ZJTJ,1.7552,3.0974,-2.6844,-4.57,24.04,25.37,21.37,✗,✗,✗,✗,✗,1.56,0,-3.21,1.48,-11.02,
605099,共创草坪,龙头:605099,✗MACD | ✗ZJTJ,-1.5137,-0.8083,-1.4107,-10.95,14.0,17.5,7.02,✗,✗,✗,✗,✗,-2.67,0,-3.48,-5.32,-12.18,
002385,大北农,龙头:002385,✗MACD | ✗ZJTJ,-0.157,-0.149,-0.016,-7.22,19.44,19.5,19.31,✗,✗,✗,✗,✗,-0.31,0,-3.33,-4.78,-5.9,
001914,招商积余,龙头:001914,✗MACD | ✗ZJTJ,-0.1717,-0.1306,-0.0822,-4.15,19.3,30.04,-2.19,✗,✗,✗,✗,✗,-0.64,0,-2.31,-6.34,-4.61,
300081,ST恒信,龙头:300081,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.0486,0.0127,0.0718,4.97,70.54,61.14,89.34,✓,✓,✓,✗,✓,1.85,2,2.56,1.61,11.08,
300308,中际旭创,龙头:300308,✗MACD | ✓ZJTJ控盘,84.663,90.2072,-11.0883,8.18,51.26,64.49,24.79,✗,✓,✗,✗,✗,2.17,0,-7.81,-0.99,6.98,
002508,老板电器,龙头:002508,✗MACD | ✗ZJTJ,-0.6579,-0.6105,-0.0949,-6.55,17.62,21.84,9.18,✗,✗,✗,✗,✗,-1.65,0,-0.25,-7.04,-8.98,
600418,江淮汽车,龙头:600418,✗MACD | ✗ZJTJ | ✓KDJ买入,-3.691,-2.9108,-1.5603,-20.13,8.83,7.53,11.43,✗,✗,✓,✗,✗,-2.44,0,-4.38,-7.62,-20.61,
300513,恒实科技,龙头:300513,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.3396,-0.2378,-0.2034,-10.04,14.51,14.5,14.54,✗,✗,✓,✗,✗,1.04,0,0.65,-3.48,-11.11,
300118,东方日升,龙头:300118,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.073,-0.8112,-0.5236,-15.7,16.83,14.32,21.87,✗,✗,✓,✗,✗,3.98,0,-2.86,-4.1,-14.91,
300502,新易盛,龙头:300502,✓MACD买入 | ✓ZJTJ控盘,55.7002,49.7982,11.8042,14.4,67.39,71.99,58.19,✓,✓,✗,✗,✓,8.38,2,1.26,5.18,12.25,
000049,德赛电池,龙头:000049,✗MACD | ✗ZJTJ,-0.9173,-0.6199,-0.5949,-9.4,12.33,14.53,7.92,✗,✗,✗,✗,✗,-0.04,0,-4.84,-7.69,-11.05,
000338,潍柴动力,龙头:000338,✗MACD | ✗ZJTJ,0.162,0.8754,-1.4267,-7.88,24.02,36.33,-0.58,✗,✗,✗,✗,✗,1.23,0,-10.05,-5.8,-12.91,
300170,汉得信息,龙头:300170,✗MACD | ✗ZJTJ,-0.874,-0.6376,-0.4728,-10.61,17.62,18.38,16.1,✗,✗,✗,✗,✗,1.75,0,-2.02,-6.45,-8.45,
300501,海顺新材,龙头:300501,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.1947,0.0258,-0.4409,-7.73,27.62,22.91,37.03,✗,✗,✓,✗,✗,-2.56,0,2.54,-1.6,-6.51,
000933,神火股份,龙头:000933,✗MACD | ✗ZJTJ,-0.888,-0.5919,-0.5921,-8.66,17.38,28.28,-4.41,✗,✗,✗,✗,✗,-1.72,0,-8.3,-14.83,-16.05,
002101,广东鸿图,龙头:002101,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.3638,-0.3657,0.0039,-5.5,17.87,16.98,19.64,✗,✗,✓,✗,✗,0.34,0,-0.79,-3.53,-5.2,
301012,扬电科技,龙头:301012,✗MACD | ✗ZJTJ,-1.5759,-0.486,-2.1799,-18.51,6.78,8.82,2.7,✗,✗,✗,✗,✗,-0.18,0,-11.17,-12.84,-22.8,
300373,扬杰科技,龙头:300373,✓MACD买入 | ✓ZJTJ控盘,6.342,6.1903,0.3033,8.82,46.89,54.05,32.57,✓,✓,✗,✗,✓,14.21,1,2.26,6.29,10.19,
002573,清新环境,龙头:002573,✗MACD | ✗ZJTJ,-0.0694,-0.0643,-0.0102,-3.53,17.45,24.14,4.07,✗,✗,✗,✗,✗,-0.6,0,-2.08,-4.64,-3.24,
000539,粤电力Ａ,龙头:000539,✗MACD | ✓ZJTJ控盘,0.5071,0.5162,-0.0182,7.2,51.91,64.78,26.17,✗,✓,✗,✗,✗,4.37,0,-11.45,-11.06,21.74,
002043,兔 宝 宝,龙头:002043,✗MACD | ✗ZJTJ,-0.5143,-0.445,-0.1387,-7.33,19.26,23.61,10.56,✗,✗,✗,✗,✗,-0.57,0,-1.05,-5.12,-6.86,
600004,白云机场,龙头:600004,✗MACD | ✗ZJTJ,-0.1618,-0.1605,-0.0026,-2.83,21.89,22.67,20.32,✗,✗,✗,✗,✗,0.37,0,0.37,-2.07,-3.01,
002537,海联金汇,龙头:002537,✗MACD | ✗ZJTJ,-0.3913,-0.3515,-0.0796,-10.72,10.84,10.84,10.83,✗,✗,✗,✗,✗,0.0,0,-3.27,-6.34,-12.18,
601615,明阳智能,龙头:601615,✗MACD | ✗ZJTJ,-0.8155,-0.4045,-0.822,-18.07,6.9,13.89,-7.1,✗,✗,✗,✗,✗,-1.37,0,-11.5,-14.6,-30.86,
000963,华东医药,龙头:000963,✗MACD | ✗ZJTJ,-1.3789,-1.3793,0.0008,-6.4,16.45,16.53,16.29,✗,✗,✗,✗,✗,0.76,0,0.22,-3.79,-4.45,
002164,宁波东力,龙头:002164,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.0817,0.0311,0.1011,3.42,61.0,41.17,100.66,✓,✓,✓,✗,✓,-0.89,1,18.81,14.32,3.27,
300207,欣旺达,龙头:300207,✗MACD | ✗ZJTJ | ✓KDJ买入,-1.6223,-1.2676,-0.7095,-15.58,9.19,8.3,10.95,✗,✗,✓,✗,✗,2.55,0,-5.28,-10.5,-15.43,
600808,马钢股份,龙头:600808,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.2527,-0.2329,-0.0397,-13.69,9.68,7.62,13.8,✗,✗,✓,✗,✗,0.37,0,-5.26,-6.25,-14.56,
300347,泰格医药,龙头:300347,✗MACD | ✗ZJTJ | ✓KDJ买入,-3.8584,-3.7657,-0.1854,-13.34,13.95,11.58,18.7,✗,✗,✓,✗,✗,2.32,0,-6.49,-5.56,-9.44,
600438,通威股份,龙头:600438,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.9871,-0.7939,-0.3863,-14.11,8.86,6.55,13.46,✗,✗,✓,✗,✗,2.17,0,-5.18,-6.66,-13.92,
600661,昂立教育,龙头:600661,✗MACD | ✗ZJTJ,-0.4596,-0.3887,-0.1417,-10.23,15.14,15.33,14.78,✗,✗,✗,✗,✗,-0.25,0,-1.85,-6.15,-10.08,
600546,山煤国际,龙头:600546,✗MACD | ✗ZJTJ,0.2903,0.3655,-0.1504,0.54,31.77,45.44,4.42,✗,✗,✗,✗,✗,0.07,0,-5.67,-5.41,2.33,
002354,天娱数科,龙头:002354,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.2432,0.2074,0.0718,7.85,67.44,51.69,98.94,✓,✓,✓,✗,✓,9.96,1,33.22,20.3,12.73,
300058,蓝色光标,龙头:300058,✗MACD | ✗ZJTJ,-0.4703,-0.251,-0.4386,-8.84,22.56,26.33,15.02,✗,✗,✗,✗,✗,3.39,0,-2.2,-8.95,-4.25,
300094,国联水产,龙头:300094,✗MACD | ✗ZJTJ,-0.0754,-0.0649,-0.021,-5.07,21.48,27.17,10.1,✗,✗,✗,✗,✗,0.0,0,-3.1,-5.07,-4.1,
603801,志邦家居,龙头:603801,✗MACD | ✗ZJTJ,-0.4843,-0.408,-0.1526,-12.68,8.52,9.74,6.06,✗,✗,✗,✗,✗,-1.61,0,-3.17,-9.54,-13.94,
603136,天目湖,龙头:603136,✗MACD | ✗ZJTJ,-0.3555,-0.3502,-0.0108,-5.44,17.04,21.25,8.62,✗,✗,✗,✗,✗,-1.64,0,-0.66,-3.84,-4.86,
600745,*ST闻泰,龙头:600745,✗MACD | ✓ZJTJ控盘,-1.1317,-1.754,1.2446,3.28,46.66,63.36,13.26,✗,✓,✗,✗,✗,-4.97,0,-3.4,-12.81,11.25,
300675,建科院,龙头:300675,✗MACD | ✗ZJTJ,-0.5165,-0.3665,-0.3,-8.47,16.13,16.52,15.35,✗,✗,✗,✗,✗,-0.36,0,-1.01,-3.39,-7.62,
002594,比亚迪,龙头:002594,✗MACD | ✗ZJTJ,-1.8307,-1.607,-0.4473,-3.67,18.78,24.67,7.0,✗,✗,✗,✗,✗,0.77,0,-1.66,-5.03,-4.83,
