code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,total_score,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
002876,三利谱,OLED,0.2759,0.1552,0.2414,65.22,45.75,104.14,3.75,,,0,66,2.57,1,15.3,8.96,9.48,
301362,民爆光电,PCB概念,18.6285,17.6283,2.0004,67.65,65.08,72.79,18.95,,,0,66,13.77,1,28.35,8.85,38.0,
301528,多浦乐,成飞概念,0.7763,0.4349,0.6829,54.06,36.81,88.56,4.55,,,0,66,14.56,1,22.16,13.64,16.79,
601208,东材科技,BC电池,4.204,3.9816,0.4448,76.41,68.21,92.81,13.95,,,0,66,5.51,1,24.71,9.5,25.0,
688668,鼎通科技,英伟达概念,26.8531,23.4962,6.7138,68.46,61.69,82.01,19.49,,,0,66,20.0,1,36.19,19.31,39.58,
