code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
000608,阳光股份,手工:000608,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.1841,0.0786,0.2111,17.56,80.89,71.15,100.37,✓,✓,✓,✗,✓,-2.23,1,15.87,26.84,20.2,
603733,仙鹤股份,手工:603733,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.4344,0.0274,0.814,10.49,75.01,63.12,98.78,✓,✓,✓,✗,✓,0.99,1,4.02,11.43,17.45,
