code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,来源,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注,source,macd_pass,zjtj_pass,kdj_pass,finance_pass,core_pass,rule_detail
300737,科顺股份,,0.2275,0.2209,0.0131,52.2,40.58,75.46,5.12,,,,龙头EBK,7.38,1,12.26,12.26,2.39,,龙头:300737,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000582,北部湾港,,0.6915,0.5474,0.2882,75.05,68.12,88.9,12.36,,,,龙头EBK,6.12,2,9.87,10.86,19.57,,龙头:000582,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
001210,金房能源,,2.9164,2.3028,1.2272,80.75,73.52,95.21,22.79,,,,龙头EBK,-2.6,2,17.86,25.48,15.62,,龙头:001210,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002975,博杰股份,,15.4465,14.0115,2.8702,77.96,75.39,83.09,22.51,,,,龙头EBK,-0.39,2,2.56,21.24,24.29,,龙头:002975,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603212,赛伍技术,,0.3233,0.2817,0.0832,59.42,50.5,77.26,4.25,,,,龙头EBK,1.88,1,8.85,3.35,7.8,,龙头:603212,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603733,仙鹤股份,,0.6123,0.1444,0.9358,81.81,69.35,106.72,12.56,,,,龙头EBK,3.46,2,11.25,6.85,21.11,,龙头:603733,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000519,中兵红箭,,0.5074,0.2849,0.445,72.55,67.94,81.78,8.79,,,,龙头EBK,4.07,2,2.8,11.34,15.68,,龙头:000519,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
688082,盛美上海,,20.3895,18.511,3.7569,57.55,61.97,48.7,15.77,,,,龙头EBK,12.39,1,10.43,4.95,20.06,,龙头:688082,True,True,False,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓财务增长
000722,湖南发展,,0.3811,0.137,0.4883,65.61,52.82,91.19,11.4,,,,龙头EBK,3.54,2,12.65,22.43,17.67,,龙头:000722,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300130,新国都,,0.2611,0.1548,0.2126,60.94,63.64,55.53,3.01,,,,龙头EBK,2.86,1,6.9,0.49,4.17,,龙头:300130,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
002056,横店东磁,,1.7137,1.0615,1.3044,83.53,80.91,88.77,22.22,,,,龙头EBK,7.17,1,9.08,12.15,37.36,,龙头:002056,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600593,大连圣亚,,0.6338,0.1814,0.9048,76.19,68.16,92.23,7.46,,,,龙头EBK,0.44,2,2.39,5.08,11.05,,龙头:600593,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300628,亿联网络,,0.7923,0.644,0.2965,66.36,51.42,96.24,5.04,,,,龙头EBK,-0.56,2,8.66,7.59,3.92,,龙头:300628,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600869,远东股份,,1.9046,1.6076,0.594,81.76,70.48,104.31,18.83,,,,龙头EBK,6.41,2,11.62,27.07,21.44,,龙头:600869,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002815,崇达技术,,0.4452,0.3935,0.1032,69.4,68.25,71.69,4.98,,,,龙头EBK,3.03,1,2.97,2.1,10.54,,龙头:002815,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000921,海信家电,,0.6681,0.4984,0.3395,79.27,69.96,97.87,6.91,,,,龙头EBK,-0.41,2,7.66,8.19,8.15,,龙头:000921,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603890,春秋电子,,2.6247,1.7752,1.6991,89.77,83.17,102.99,32.5,,,,龙头EBK,4.36,2,26.28,39.55,58.31,,龙头:603890,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
002484,江海股份,,11.5645,8.9266,5.2758,91.06,91.62,89.95,43.76,,,,龙头EBK,4.95,2,12.51,30.07,50.03,,龙头:002484,True,True,False,False,True,✓MACD买入 | ✓ZJTJ控盘
600101,明星电力,,0.1222,0.0525,0.1394,72.44,63.52,90.28,4.73,,,,龙头EBK,5.4,1,3.77,8.7,8.48,,龙头:600101,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300726,宏达电子,,3.9094,3.6665,0.4858,60.02,56.16,67.74,10.66,,,,龙头EBK,2.1,2,7.38,10.63,13.79,,龙头:300726,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
603267,鸿远电子,,5.5144,3.8949,3.2389,82.1,82.0,82.28,22.35,,,,龙头EBK,-2.38,2,11.32,21.06,29.54,,龙头:603267,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
