code,name,sector,dif,dea,macd,k,d,j,kongpan,KDJ加分,财务加分,加分合计,来源,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注,source,macd_pass,zjtj_pass,kdj_pass,finance_pass,core_pass,rule_detail
601869,长飞光纤,光纤概念,11.9358,10.5243,2.8229,73.99,56.63,108.7,7.14,,,0.0,主选股,8.87,1,10.47,21.55,11.82,,,,,,,,
603212,赛伍技术,BC电池,0.3233,0.2817,0.0832,59.42,50.5,77.26,4.25,,,0.0,主选股,1.88,1,8.85,3.35,7.8,,,,,,,,
603373,安邦护卫,低空经济,1.6774,1.6612,0.0324,60.29,55.37,70.14,4.85,,,0.0,主选股,4.69,1,16.31,2.87,15.15,,,,,,,,
688097,博众精工,人形机器人,1.0381,0.3022,1.4717,56.4,42.19,84.82,8.45,,✓,1.0,主选股,11.94,1,20.55,26.43,14.64,,,,,,,,
688498,源杰科技,5G,69.2426,56.7148,25.0556,74.02,63.62,94.81,15.01,,,0.0,主选股,16.41,1,24.03,25.0,26.02,,,,,,,,
688597,煜邦电力,京津冀一体化,-0.1006,-0.1748,0.1484,52.49,35.83,85.8,2.62,,,0.0,主选股,6.36,1,18.93,19.54,5.64,,,,,,,,
603733,仙鹤股份,,0.6123,0.1444,0.9358,81.81,69.35,106.72,12.56,,,,手工选股,3.46,2,11.25,6.85,21.11,,手工:603733,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000333,美的集团,,0.6471,0.5951,0.104,70.92,52.46,107.84,1.62,,,,龙头EBK,0.01,1,2.18,3.22,1.36,,龙头:000333,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
300308,中际旭创,,97.086,88.2871,17.5978,83.01,81.33,86.38,16.38,,,,龙头EBK,6.98,2,9.8,14.72,22.95,,龙头:300308,True,True,True,True,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入 | ✓财务增长
300502,新易盛,,53.4719,41.6449,23.654,85.51,82.2,92.13,19.32,,,,龙头EBK,4.72,2,10.73,12.55,33.04,,龙头:300502,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
000539,粤电力Ａ,,0.6717,0.4177,0.508,84.64,74.43,105.05,27.39,,,,龙头EBK,2.96,2,5.86,28.07,45.74,,龙头:000539,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
600546,山煤国际,,0.4447,0.3739,0.1417,64.84,60.98,72.56,7.11,,,,龙头EBK,1.94,2,5.91,8.49,8.33,,龙头:600546,True,True,True,False,True,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入
