code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
000608,阳光股份,手工:000608,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.305,0.1645,0.2809,23.68,88.96,80.81,105.26,✓,✓,✓,✗,✓,9.96,2,14.52,20.52,42.27,
603733,仙鹤股份,手工:603733,✓MACD买入 | ✓ZJTJ控盘 | ✓KDJ买入,0.937,0.4064,1.0613,15.09,87.94,79.43,104.95,✓,✓,✓,✗,✓,0.73,4,6.59,14.62,26.1,🌟
