code,name,source,rule_detail,dif,dea,macd,kongpan,k,d,j,MACD买入,ZJTJ控盘,KDJ买入,财务增长,核心满足,今日涨跌,连选天数,近3日涨幅,近5日涨幅,近10日涨幅,重点关注
601116,三江购物,龙头:601116,✗MACD | ✗ZJTJ | ✓KDJ买入,-0.3758,-0.399,0.0465,-3.21,48.49,47.0,51.48,✗,✗,✓,✗,✗,-4.21,0,-7.3,2.12,-1.07,
603859,能科科技,龙头:603859,✗MACD | ✗ZJTJ,0.5263,1.0028,-0.9529,-3.21,21.53,35.86,-7.14,✗,✗,✗,✗,✗,-3.24,0,-6.1,-9.49,-7.72,
600422,昆药集团,龙头:600422,✗MACD | ✗ZJTJ,-0.3532,-0.4735,0.2406,-0.31,46.22,48.95,40.76,✗,✗,✗,✗,✗,-2.36,0,-8.45,1.29,1.88,
603596,伯特利,龙头:603596,✗MACD | ✗ZJTJ,0.1293,0.3437,-0.4287,-2.52,26.57,39.62,0.46,✗,✗,✗,✗,✗,1.51,0,-1.87,-7.24,-4.22,
603583,捷昌驱动,龙头:603583,✗MACD | ✗ZJTJ,-1.6022,-1.3675,-0.4695,-11.69,7.11,13.35,-5.35,✗,✗,✗,✗,✗,-1.49,0,-3.73,-6.49,-15.78,
301206,三元生物,龙头:301206,✗MACD | ✗ZJTJ,-0.5766,-0.3435,-0.4663,-6.64,12.06,14.45,7.29,✗,✗,✗,✗,✗,-0.37,0,-5.79,-4.07,-7.21,
002570,贝因美,龙头:002570,✗MACD | ✓ZJTJ控盘 | ✓KDJ买入,0.0515,-0.027,0.157,8.2,72.22,59.08,98.51,✗,✓,✓,✗,✗,10.0,0,11.28,16.26,19.42,
603127,昭衍新药,龙头:603127,✗MACD | ✗ZJTJ,-1.0458,-0.2051,-1.6814,-12.61,12.71,19.4,-0.67,✗,✗,✗,✗,✗,-0.86,0,-0.42,-8.34,-21.86,
688032,禾迈股份,龙头:688032,✗MACD | ✗ZJTJ,-5.2953,-4.0021,-2.5863,-11.87,6.76,10.44,-0.6,✗,✗,✗,✗,✗,-2.37,0,-4.69,-7.85,-13.61,
603861,白云电器,龙头:603861,✗MACD | ✓ZJTJ控盘 | ✓KDJ买入,0.1145,-0.0313,0.2914,4.67,60.36,55.23,70.64,✗,✓,✓,✗,✗,5.54,0,-1.7,3.77,10.51,
603178,圣龙股份,龙头:603178,✗MACD | ✗ZJTJ,-0.3735,0.1143,-0.9755,-12.41,5.6,9.04,-1.29,✗,✗,✗,✗,✗,-1.33,0,-4.11,-6.43,-14.12,
002192,融捷股份,龙头:002192,✗MACD | ✗ZJTJ,-2.0548,-0.1343,-3.8409,-11.18,12.2,14.73,7.15,✗,✗,✗,✗,✗,-3.74,0,-6.65,-6.98,-11.3,
